(0, 0)
(1, 0)
(2, 2)
(3, 2)
(4, 0)
(5, 3)
(6, 3)
(7, 0)
(8, 0)
(9, 0)
(10, 0)
(11, 0)
(12, 0)
(13, 1)
(14, 1)
(15, 1)
(16, 1)
(17, 1)
(18, 1)
(19, 1)
(20, 1)
(30, 3)
(31, 1)
(32, 1)
(33, 3)
(34, 3)
(35, 3)
(36, 3)
(37, 2)
(38, 2)
(39, 2)
(40, 2)
(41, 2)
(42, 2)
(43, 0)
(44, 0)
(45, 0)
(46, 0)
(47, 0)
(48, 0)
(49, 0)
(50, 0)
(60, 2)
(61, 2)
(62, 0)
(63, 0)
(64, 2)
(65, 1)
(66, 1)
(67, 1)
(68, 2)
(69, 2)
(70, 2)
(71, 2)
(72, 3)
(73, 3)
(74, 3)
(75, 3)
(76, 3)
(77, 3)
(78, 3)
(79, 3)
(90, 1)
(91, 1)
(92, 1)
(93, 1)
(94, 1)
(95, 1)
(96, 1)
(97, 1)
(98, 1)
(99, 1)
(100, 3)
(101, 3)
(102, 3)
(103, 3)
(104, 3)
(105, 3)
(106, 3)
(107, 3)
(108, 2)
(109, 2)
(110, 2)
(111, 2)
(112, 2)
(113, 2)
(114, 2)
(115, 2)
(116, 2)
(117, 0)
(118, 0)
(119, 0)
(120, 0)
(121, 0)
(122, 0)
(123, 0)
(124, 0)
(125, 0)
(126, 0)
average waiting time 4.50 
